id,item_id,response,trait,correct,session_id,time_taken,data_set_id
1,1,same,,1,i226,6.70968389511108,
2,2,different,,1,i226,2.82162404060364,
3,3,same,,1,i226,7.85505795478821,
4,4,different,,1,i226,3.31342101097107,
5,1,same,,1,i238,35.3049941062927,
6,2,different,,1,i238,20.0308749675751,
7,3,same,,1,i238,23.0393378734589,
8,4,different,,1,i238,20.1092660427094,
9,1,,,0,i245,60,
10,2,,,0,i245,60,
11,3,,,0,i245,60,
12,4,,,0,i245,60,
13,1,same,,1,i247,23.2251482009888,
14,2,different,,1,i247,22.2058770656586,
15,3,same,,1,i247,51.9168558120728,
16,4,different,,1,i247,28.3797008991241,
17,1,same,,1,i248,24.9423699378967,
18,2,different,,1,i248,24.5779089927673,
19,3,same,,1,i248,41.1534969806671,
20,4,different,,1,i248,28.9525480270386,
21,2,different,,1,i251,21.4208869934082,
22,3,same,,1,i251,12.6110970973969,
23,4,different,,1,i251,19.9423961639404,
24,1,same,,1,i252,26.1910171508789,
25,2,different,,1,i252,15.6716239452362,
26,3,same,,1,i252,13.8159019947052,
27,4,different,,1,i252,23.2238230705261,
28,1,different,,0,i268,8.18959903717041,
29,1,same,,1,i284,52.4521849155426,
30,2,different,,1,i284,12.7372810840607,
31,3,same,,1,i284,10.987282037735,
32,4,different,,1,i284,18.5880000591278,
33,1,same,,1,i283,24.7493958473206,
34,2,different,,1,i283,15.4946191310883,
35,3,same,,1,i283,16.9866800308228,
36,4,different,,1,i283,20.4749410152435,
37,1,different,,0,i296,9.74624395370483,
38,2,different,,1,i296,10.2140331268311,
39,3,same,,1,i296,15.2814989089966,
40,4,different,,1,i296,17.0104081630707,
41,1,different,,0,i299,82.4769659042358,
42,2,different,,1,i299,43.110463142395,
43,3,same,,1,i299,41.7444379329681,
44,4,different,,1,i299,21.8619611263275,
45,1,same,,1,i301,20.544341802597,
46,2,different,,1,i301,13.2895829677582,
47,3,same,,1,i301,14.1193909645081,
48,4,different,,1,i301,28.4857988357544,
49,1,same,,1,i306,22.192939043045,
50,2,different,,1,i306,14.398157119751,
51,3,same,,1,i306,25.2778670787811,
52,4,different,,1,i306,39.1639342308044,
53,1,same,,1,i308,35.4606721401215,
54,2,different,,1,i308,16.9618418216705,
